"x_coord","y_coord","inf_times"
-19.2686096848888,-6.48357798648325,7872
-19.0430573976075,-6.18868912748123,7873
-18.8175051103262,-5.89380026847921,7874
-18.5919528230449,-5.5989114094772,7875
-18.3664005357636,-5.30402255047518,7876
-18.1408482484823,-5.00913369147316,7877
-17.9152959612009,-4.71424483247114,7878
-17.6897436739196,-4.41935597346912,7879
-17.4641913866383,-4.1244671144671,7880
-17.238639099357,-3.82975950148445,7881
-17.0130868120757,-3.53838575464108,7882
-16.7875345247944,-3.2559242291597,7883
-16.5619822375131,-2.98802408444313,7884
-16.3364299502318,-2.74005741514145,7885
-16.1108776629505,-2.51322628714894,7886
-15.8853253756692,-2.30551018635811,7887
-15.6597730883879,-2.11480497842452,7888
-15.4342208011065,-1.93900652900373,7889
-15.2086685138252,-1.7760107037513,7890
-14.9831162265439,-1.62371336832279,7891
-14.7575639392626,-1.48001038837377,7892
-14.5320116519813,-1.34279762955979,7893
-14.3064593647,-1.20997095753643,7894
-14.0809070774187,-1.07942623795924,7895
-13.8553547901374,-0.949059336483782,7896
-13.6298025028561,-0.81676611876562,7897
-13.4042502155748,-0.680442450460316,7898
-13.1786979282935,-0.53798419722343,7899
-12.9531456410122,-0.387287224710526,7900
-12.7275933537308,-0.226247398577165,7901
-12.5020410664495,-0.0527605844789093,7902
-12.2764887791682,0.13527735192868,7903
-12.0509364918869,0.339970544990039,7904
-11.8253842046056,0.56342312904961,7905
-11.5998319173243,0.807739238451825,7906
-11.374279630043,1.07338702447285,7907
-11.1487273427617,1.35141157780681,7908
-10.9231750554804,1.63235869892334,7909
-10.6976227681991,1.90942410167707,7910
-10.4720704809178,2.17589647677011,7911
-10.2465181936364,2.42506451490459,7912
-10.0209659063551,2.65021690678263,7913
-9.79541361907383,2.84464234310636,7914
-9.56986133179252,3.00162951512644,7915
-9.34430904451121,3.11613653836303,7916
-9.1187567572299,3.18966147524602,7917
-8.8932044699486,3.22530364487421,7918
-8.66765218266729,3.22616236634641,7919
-8.44209989538598,3.19533695876142,7920
-8.21654760810467,3.13592674121805,7921
-7.99099532082336,3.05103103281511,7922
-7.76544303354205,2.9437491526514,7923
-7.53989074626074,2.81718041982573,7924
-7.31433845897943,2.67442415343691,7925
-7.08878617169812,2.51857967258374,7926
-6.86323388441682,2.35274629636503,7927
-6.63768159713551,2.18002334387959,7928
-6.4121293098542,2.00351013422622,7929
-6.18657702257289,1.82630598650373,7930
-5.96102473529158,1.65151021981093,7931
-5.73547244801027,1.48222215324662,7932
-5.50992016072896,1.32154110590961,7933
-5.28436787344765,1.17256639689871,7934
-5.05881558616634,1.03839734531271,7935
-4.83326329888504,0.922133270250441,7936
-4.60771101160373,0.826873490810694,7937
-4.38215872432242,0.755717326092279,7938
-4.15660643704111,0.711763683613875,7939
-3.9310541497598,0.696357673474534,7940
-3.70550186247849,0.705079469378323,7941
-3.47994957519718,0.732326469842124,7942
-3.25439728791587,0.772496073382819,7943
-3.02884500063457,0.81998567851729,7944
-2.80329271335326,0.869192683762418,7945
-2.57774042607195,0.914514487635087,7946
-2.35218813879064,0.950348488652178,7947
-2.12663585150933,0.971092085330574,7948
-1.90108356422802,0.971142676187156,7949
-1.67553127694671,0.944897659738806,7950
-1.4499789896654,0.886754434502408,7951
-1.2244267023841,0.791110398994843,7952
-0.998874415102787,0.652362951732992,7953
-0.773322127821478,0.464909491233737,7954
-0.547769840540169,0.223824564583411,7955
-0.32221755325886,-0.0632757496853434,7956
-0.0966652659775516,-0.377718026267869,7957
0.128887021303757,-0.700450005141852,7958
0.354439308585066,-1.01241942628496,7959
0.579991595866375,-1.29457402967489,7960
0.805543883147684,-1.52786155528931,7961
1.03109617042899,-1.69322975143851,7962
1.2566484577103,-1.7777692582505,7963
1.48220074499161,-1.79233097128427,7964
1.70775303227292,-1.7535096758507,7965
1.93330531955423,-1.67614422323881,7966
2.15885760683554,-1.56579631670753,7967
2.38440989411685,-1.42497515263265,7968
2.60996218139815,-1.25618808118135,7969
2.83551446867946,-1.06194245252074,7970
3.06106675596077,-0.84474561681799,7971
3.28661904324208,-0.607104924240231,7972
3.51217133052339,-0.351527724954613,7973
3.7377236178047,-0.0805213691282862,7974
3.96327590508601,0.203406793071614,7975
4.18882819236732,0.497749411477932,7976
4.41438047964862,0.799999135923534,7977
4.63993276692993,1.10764861624127,7978
4.86548505421124,1.41819050226399,7979
5.09103734149255,1.72911744382455,7980
5.31658962877386,2.03792209075582,7981
5.54214191605517,2.34209709289063,7982
5.76769420333648,2.63913510006186,7983
5.99324649061779,2.92652876210234,7984
6.2187987778991,3.20177072884494,7985
6.4443510651804,3.46235365012251,7986
6.66990335246171,3.70577017576792,7987
6.89545563974302,3.929512955614,7988
7.12100792702433,4.13107463949362,7989
7.34656021430564,4.30794787723963,7990
7.57211250158695,4.45762531868489,7991
7.79766478886826,4.57759961366225,7992
8.02321707614957,4.66536341200457,7993
8.24876936343087,4.71840936354469,7994
